凹甲陆龟	aojialugui	ajlg
八色鸫科	basedongke	bsdk
白唇鹿	baichunlu	bcl
白额雁	baieyan	bey
白腹黑啄木鸟	baifuheizhuomuniao	bfhzmn
白腹军舰鸟	baifujunjianniao	bfjjn
白冠长尾雉	baiguanchangweizhi	bgcwz
白鹳	baiguan	bg
白鹤	baihe	bh
白鹮	baihuan	bh
白鱀豚	baijitun	bjt
白肩雕	baijiandiao	bjd
白颈长尾雉	baijingchangweizhi	bjcwz
白琵鹭	baipilu	bpl
白头鹤	baitouhe	bth
白尾海雕	baiweihaidiao	bwhd
白鹇	baixian	bx
白枕鹤	baizhenhe	bzh
斑林狸	banlinli	bll
斑羚	banling	bl
斑尾林鸽	banweilinge	bwlg
斑尾榛鸡	banweizhenji	bwzj
鸨	bao	b
豹	bao	b
北山羊	beishanyang	bsy
彩鹳	caiguan	cg
彩鹮	caihuan	ch
藏羚	cangling	cl
藏马鸡	cangmaji	cmj
藏酋猴	cangqiuhou	cqh
藏原羚	cangyuanling	cyl
草原斑猫	caoyuanbanmao	cybm
豺	chai	c
橙胸咬鹃	chengxiongyaojuan	cxyj
赤斑羚	chibanling	cbl
赤颈鹤	chijinghe	cjh
赤颈??	chijingpiti	cjpt
穿山甲	chuanshanjia	csj
丛林猫	conglinmao	clm
大壁虎	dabihu	dbh
大凉疣螈	daliangyouyuan	dlyy
大灵猫	dalingmao	dlm
大鲵	dani	dn
大熊猫	daxiongmao	dxm
玳瑁	daimao	dm
丹顶鹤	dandinghe	ddh
地龟	digui	dg
貂熊	diaoxiong	dx
短尾猴	duanweihou	dwh
短尾信天翁	duanweixintianweng	dwxtw
鹅喉羚	ehouling	ehl
鳄蜥	exi	ex
蜂猴	fenghou	fh
凤头雨燕	fengtouyuyan	ftyy
高鼻羚羊	gaobilingyang	gbly
贵州疣螈	guizhouyouyuan	gzyy
海鸬鹚	hailuci	hlc
海南虎斑鳽	hainanhubanqian	hnhbq
海南山鹧鸪	hainanshanzhegu	hnszg
海南兔	hainantu	hnt
河麂	heji	hj
河狸	heli	hl
鹤嘴翠鸟	hezuicuiniao	hzcn
黑浮鸥	heifuou	hfo
黑腹沙鸡	heifushaji	hfsj
黑鹳	heiguan	hg
黑鹮	heihuan	hh
黑麂	heiji	hj
黑颈鹤	heijinghe	hjh
黑颈鸬鹚	heijingluci	hjlc
黑颈长尾雉	heijingchangweizhi	hjcwz
黑颏果鸠	heikeguojiu	hkgj
黑脸琵鹭	heilianpilu	hlpl
黑琴鸡	heiqinji	hqj
黑头角雉	heitoujiaozhi	htjz
黑鹇	heixian	hx
黑胸蜂虎	heixiongfenghu	hxfh
黑熊	heixiong	hx
黑长尾雉	heichangweizhi	hcwz
黑嘴端凤头燕鸥	heizuiduanfengtouyanou	hzdftyo
红腹角雉	hongfujiaozhi	hfjz
红胸黑雁	hongxiongheiyan	hxhy
红胸角雉	hongxiongjiaozhi	hxjz
虹雉褐马鸡	hongzhihemaji	hzhmj
胡兀鹫	huwujiu	hwj
虎	hu	h
虎头海雕	hutouhaidiao	hthd
虎纹蛙	huwenwa	hww
花田鸡	huatianji	htj
花尾榛鸡	huaweizhenji	hwzj
荒漠猫	huangmomao	hmm
皇鸠	huangjiu	hj
黄腹角雉	huangfujiaozhi	hfjz
黄喉貂	huanghoudiao	hhd
黄羊	huangyang	hy
黄嘴白鹭	huangzuibailu	hzbl
黄嘴河燕鸥	huangzuiheyanou	hzhyo
灰腹角雉	huifujiaozhi	hfjz
灰鹤	huihe	hh
灰喉针尾雨燕	huihouzhenweiyuyan	hhzwyy
灰燕鸻	huiyanheng	hyh
姬田鸡	jitianji	jtj
鲣鸟	jianniao	jn
角??	jiaopiti	jpt
金雕	jindiao	jd
金猫	jinmao	jm
金丝猴	jinsihou	jsh
锦鸡	jinji	jj
