安息香科	anxixiangke	axxk
凹叶厚朴	aoyehoupo	ayhp
白豆杉	baidoushan	bds
百山祖冷杉	baishanzulengshan	bszls
柏科	baike	bk
半枫荷	banfenghe	bfh
瓣鳞花	banlinhua	blh
瓣鳞花科	banlinhuake	blhk
蚌壳蕨科（所有种）	bangkejueke（suoyouzhong）	bkjk（syz）
宝华玉兰	baohuayulan	bhyl
报春花科	baochunhuake	bchk
报春苣苔	baochunjutai	bcjt
北方黑三棱	beifangheisanleng	bfhsl
被子植物	beizizhiwu	bzzw
蓖子三尖杉	bizisanjianshan	bzsjs
冰沼草	bingzhaocao	bzc
冰沼草科	bingzhaocaoke	bzck
柄翅果	bingchiguo	bcg
伯乐树（钟萼木）	boleshu（zhongemu）	bls（zem）
伯乐树科	boleshuke	blsk
朝鲜崖柏	chaoxianyabai	cxyb
秤锤树	chengchuishu	ccs
翅果油树	chiguoyoushu	cgys
虫草（冬虫夏草）	chongcao（dongchongxiacao）	cc（dcxc）
川黄檗（黄皮树）	chuanhuangbo（huangpishu）	chb（hps）
川苔草科	chuantaicaoke	ctck
川藻（石蔓）	chuanzao（shiman）	cz（sm）
莼菜	chuncai	cc
唇形科	chunxingke	cxk
茨藻科	cizaoke	czk
粗枝崖摩	cuzhiyamo	czym
翠柏	cuibai	cb
大别山五针松	dabieshanwuzhensong	dbswzs
大果木莲	daguomulian	dgml
大果青杄	daguoqingqian	dgqq
大戟科	dajike	djk
大叶木兰	dayemulan	dyml
大叶木莲	dayemulian	dyml
呆白菜（崖白菜）	daibaicai（yabaicai）	dbc（ybc）
丹霞梧桐	danxiawutong	dxwt
单性木兰	danxingmulan	dxml
单叶贯众	danyeguanzhong	dygz
单座苣苔	danzuojutai	dzjt
地枫皮	difengpi	dfp
滇南风吹楠	diannanfengchuinan	dnfcn
滇桐	diantong	dt
丁茜	dingqian	dq
东京龙脑香	dongjinglongnaoxiang	djlnx
东京桐	dongjingtong	djt
董棕	dongzong	dz
豆科	douke	dk
独叶草	duyecao	dyc
短芒披堿草	duanmangpijiancao	dmpjc
短绒野大豆	duanrongyedadou	drydd
椴树科	duanshuke	dsk
对开蕨	duikaijue	dkj
盾鳞狸藻	dunlinlizao	dllz
多毛坡垒	duomaopolei	dmpl
峨眉含笑	emeihanxiao	emhx
峨眉拟单性木兰	emeinidanxingmulan	emndxml
鹅掌楸	ezhangqiu	ezq
萼翅藤	echiteng	ect
二回原始观音座莲	erhuiyuanshiguanyinzuolian	ehysgyzl
发菜	facai	fc
法斗观音座莲	fadouguanyinzuolian	fdgyzl
梵净山冷杉	fanjingshanlengshan	fjsls
防己科	fangjike	fjk
榧属	feishu	fs
粉背叶人字果	fenbeiyerenziguo	fbyrzg
浮叶慈菇	fuyecigu	fycg
辐花	fuhua	fh
辐花苣苔	fuhuajutai	fhjt
福建柏	fujianbai	fjb
富宁藤	funingteng	fnt
高雄茨藻	gaoxiongcizao	gxcz
革苞菊	gebaoju	gbj
格木	gemu	gm
珙桐	gongtong	gt
贡山三尖杉	gongshansanjianshan	gssjs
观音座莲科	guanyinzuolianke	gyzlk
光叶珙桐	guangyegongtong	gygt
光叶蕨	guangyejue	gyj
广西火桐	guangxihuotong	gxht
广西青梅	guangxiqingmei	gxqm
贵州萍逢草	guizhoupingfengcao	gzpfc
海南椴	hainanduan	hnd
海南风吹楠	hainanfengchuinan	hnfcn
海南石梓（苦梓）	hainanshizi（kuzi）	hnsz（kz）
海南梧桐	hainanwutong	hnwt
海南油杉	hainanyoushan	hnys
海南紫荆木	hainanzijingmu	hnzjm
禾本科	hebenke	hbk
合果木	heguomu	hgm
合柱金莲木	hezhujinlianmu	hzjlm
黑黄檀（版纳黑檀）	heihuangtan（bannaheitan）	hht（bnht）
黑三棱科	heisanlengke	hslk
亨利原始观音座莲	hengliyuanshiguanyinzuolian	hlysgyzl
红椿	hongchun	hc
红豆杉科	hongdoushanke	hdsk
红豆杉属（所有种）	hongdoushanshu（suoyouzhong）	hdss（syz）
红豆树	hongdoushu	hds
红桧	honggui	hg
红花绿绒蒿	honghualvronghao	hhlrh
红松	hongsong	hs
厚朴	houpo	hp
厚叶木莲	houyemulian	hyml
胡黄连	huhuanglian	hhl
胡颓子科	hutuizike	htzk
蝴蝶树	hudieshu	hds
虎耳草科	huercaoke	heck
花蔺科	hualinke	hlk
花榈木（花梨木）	hualvmu（hualimu）	hlm（hlm）
华盖木	huagaimu	hgm
华南五针松（广东松）	huananwuzhensong（guangdongsong）	hnwzs（gds）
华南锥	huananzhui	hnz
华山新麦草	huashanxinmaicao	hsxmc
画笔菊	huabiju	hbj
桦木科	huamuke	hmk
黄檗（黄菠椤）	huangbo（huangboluo）	hb（hbl）
黄山梅	huangshanmei	hsm
黄杉属（所有种）	huangshanshu（suoyouzhong）	hss（syz）
茴香砂仁	huixiangsharen	hxsr
夹竹桃科	jiazhutaoke	jztk
箭叶大油芒	jianyedayoumang	jydym
姜科	jiangke	jk
降香（降香檀）	jiangxiang（jiangxiangtan）	jx（jxt）
金莲木科	jinlianmuke	jlmk
金缕梅科	jinlvmeike	jlmk
金平桦	jinpinghua	jph
金钱松	jinqiansong	jqs
金荞麦	jinqiaomai	jqm
金铁锁	jintiesuo	jts
景东翅子树	jingdongchizishu	jdczs
菊科	juke	jk
榉树	jushu	js
巨柏	jubai	jb
蕨类植物	jueleizhiwu	jlzw
壳斗科	kedouke	kdk
口蘑科（白蘑科）	koumoke（baimoke）	kmk（bmk）
苦苣苔科	kujutaike	kjtk
蓝果树科	languoshuke	lgsk
蓝藻	lanzao	lz
狸藻科	lizaoke	lzk
连香树	lianxiangshu	lxs
连香树科	lianxiangshuke	lxsk
莲	lian	l
楝科	lianke	lk
蓼科	liaoke	lk
鳞毛蕨科	linmaojueke	lmjk
菱科	lingke	lk
龙胆科	longdanke	ldk
龙脑香科	longnaoxiangke	lnxk
龙棕	longzong	lz
鹿角蕨科	lujiaojueke	ljjk
卵叶桂	luanyegui	lyg
萝藦科	luomoke	lmk
裸子植物	luozizhiwu	lzzw
落叶木莲	luoyemulian	lyml
马鞭草科	mabiancaoke	mbck
马尾树	mayishu	mys
马尾树科	mayishuke	mysk
麦角菌科	maijiaojunke	mjjk
芒苞草	mangbaocao	mbc
芒苞草科	mangbaocaoke	mbck
毛茛科	maogenke	mgk
毛果木莲	maoguomulian	mgml
毛红椿	maohongchun	mhc
毛披堿草	maopijiancao	mpjc
毛枝五针松	maozhiwuzhensong	mzwzs
茅膏菜科	maogaocaike	mgck
猛仑翅子树	menglunchizishu	mlczs
岷江柏木	minjiangbaimu	mjbm
闽楠	minnan	mn
貉藻	mozao	mz
木兰科	mulanke	mlk
木犀科	muxike	mxk
楠木	nanmu	nm
内蒙古大麦	neimenggudamai	nmgdm
拟豆蔻	nidoukou	ndk
拟高粱	nigaoliang	ngl
拟花蔺	nihualin	nhl
拟纤维茨藻	nixianweicizao	nxwcz
念珠藻科	nianzhuzaoke	nzzk
平当树	pingdangshu	pds
坡垒	polei	pl
普通野生稻	putongyeshengdao	ptysd
普陀鹅耳枥	putuoeerli	pteel
